annee,tour,departement,departement_nom,nuance,famille_politique,inscrits,votants,abstentions,exprimes,voix,taux_participation,taux_abstention,pct_exprimes,pct_inscrits,ancien_midi_pyrenees,ancien_languedoc_roussillon,typologie
1993,2,46,Lot,UDF,Autres,123760,99231,24529,93154,22949,80.18,19.82,24.64,18.54,True,False,Rural
1993,2,46,Lot,RPR,Droite,123760,99231,24529,93154,21643,80.18,19.82,23.23,17.49,True,False,Rural
1993,2,65,Hautes-Pyrénées,UDF,Autres,111961,80606,31355,74244,37613,71.99,28.01,50.66,33.59,True,False,Rural
1993,2,66,Pyrénées-Orientales,RPR,Droite,265067,177809,87258,156231,43910,67.08,32.92,28.11,16.57,False,True,Rural
1993,2,66,Pyrénées-Orientales,FRN,Extrême droite,265067,177809,87258,156231,31578,67.08,32.92,20.21,11.91,False,True,Rural
1993,2,66,Pyrénées-Orientales,UDF,Autres,265067,177809,87258,156231,19600,67.08,32.92,12.55,7.39,False,True,Rural
1993,2,81,Tarn,RPR,Droite,256519,195190,61329,180014,79789,76.09,23.91,44.32,31.1,True,False,Rural
1993,2,81,Tarn,UDF,Autres,256519,195190,61329,180014,18596,76.09,23.91,10.33,7.25,True,False,Rural
1993,2,81,Tarn,RDG,Autres,256519,195190,61329,180014,15688,76.09,23.91,8.71,6.12,True,False,Rural
1993,2,82,Tarn-et-Garonne,UDF,Autres,149388,115467,33921,107248,61129,77.29,22.71,57.0,40.92,True,False,Rural
1993,2,82,Tarn-et-Garonne,RDG,Autres,149388,115467,33921,107248,23771,77.29,22.71,22.16,15.91,True,False,Rural
1997,1,9,Ariège,SOC,Autres,105955,77104,28851,73235,29881,72.77,27.23,40.8,28.2,True,False,Rural
1997,1,9,Ariège,DVD,Droite,105955,77104,28851,73235,12130,72.77,27.23,16.56,11.45,True,False,Rural
1997,1,9,Ariège,COM,Autres,105955,77104,28851,73235,8927,72.77,27.23,12.19,8.43,True,False,Rural
1997,1,9,Ariège,FRN,Extrême droite,105955,77104,28851,73235,6874,72.77,27.23,9.39,6.49,True,False,Rural
1997,1,9,Ariège,RPR,Droite,105955,77104,28851,73235,6621,72.77,27.23,9.04,6.25,True,False,Rural
1997,1,9,Ariège,ECO,Autres,105955,77104,28851,73235,3555,72.77,27.23,4.85,3.36,True,False,Rural
1997,1,9,Ariège,DIV,Autres,105955,77104,28851,73235,2333,72.77,27.23,3.19,2.2,True,False,Rural
1997,1,9,Ariège,DVG,Gauche,105955,77104,28851,73235,1638,72.77,27.23,2.24,1.55,True,False,Rural
1997,1,9,Ariège,PRS,Autres,105955,77104,28851,73235,0,72.77,27.23,0.0,0.0,True,False,Rural
1997,1,9,Ariège,UDF,Autres,105955,77104,28851,73235,0,72.77,27.23,0.0,0.0,True,False,Rural
1997,1,9,Ariège,EXD,Autres,105955,77104,28851,73235,0,72.77,27.23,0.0,0.0,True,False,Rural
1997,1,11,Aude,SOC,Autres,224007,164129,59878,156334,56119,73.27,26.73,35.9,25.05,False,True,Rural
1997,1,11,Aude,RPR,Droite,224007,164129,59878,156334,26875,73.27,26.73,17.19,12.0,False,True,Rural
1997,1,11,Aude,FRN,Extrême droite,224007,164129,59878,156334,22435,73.27,26.73,14.35,10.02,False,True,Rural
1997,1,11,Aude,COM,Autres,224007,164129,59878,156334,19952,73.27,26.73,12.76,8.91,False,True,Rural
1997,1,11,Aude,UDF,Autres,224007,164129,59878,156334,10836,73.27,26.73,6.93,4.84,False,True,Rural
1997,1,11,Aude,ECO,Autres,224007,164129,59878,156334,7760,73.27,26.73,4.96,3.46,False,True,Rural
1997,1,11,Aude,DVD,Droite,224007,164129,59878,156334,6055,73.27,26.73,3.87,2.7,False,True,Rural
1997,1,11,Aude,DVG,Gauche,224007,164129,59878,156334,3047,73.27,26.73,1.95,1.36,False,True,Rural
1997,1,11,Aude,DIV,Autres,224007,164129,59878,156334,1861,73.27,26.73,1.19,0.83,False,True,Rural
1997,1,11,Aude,EXD,Autres,224007,164129,59878,156334,208,73.27,26.73,0.13,0.09,False,True,Rural
1997,1,11,Aude,PRS,Autres,224007,164129,59878,156334,0,73.27,26.73,0.0,0.0,False,True,Rural
1997,1,12,Aveyron,UDF,Autres,209932,156142,53790,146324,37096,74.38,25.62,25.35,17.67,True,False,Rural
1997,1,12,Aveyron,RPR,Droite,209932,156142,53790,146324,29339,74.38,25.62,20.05,13.98,True,False,Rural
1997,1,12,Aveyron,SOC,Autres,209932,156142,53790,146324,24436,74.38,25.62,16.7,11.64,True,False,Rural
1997,1,12,Aveyron,PRS,Autres,209932,156142,53790,146324,22272,74.38,25.62,15.22,10.61,True,False,Rural
1997,1,12,Aveyron,FRN,Extrême droite,209932,156142,53790,146324,10803,74.38,25.62,7.38,5.15,True,False,Rural
1997,1,12,Aveyron,COM,Autres,209932,156142,53790,146324,10211,74.38,25.62,6.98,4.86,True,False,Rural
1997,1,12,Aveyron,ECO,Autres,209932,156142,53790,146324,5558,74.38,25.62,3.8,2.65,True,False,Rural
1997,1,12,Aveyron,DVD,Droite,209932,156142,53790,146324,4461,74.38,25.62,3.05,2.12,True,False,Rural
1997,1,12,Aveyron,DVG,Gauche,209932,156142,53790,146324,780,74.38,25.62,0.53,0.37,True,False,Rural
1997,1,12,Aveyron,EXD,Autres,209932,156142,53790,146324,0,74.38,25.62,0.0,0.0,True,False,Rural
1997,1,12,Aveyron,DIV,Autres,209932,156142,53790,146324,0,74.38,25.62,0.0,0.0,True,False,Rural
1997,1,30,Gard,FRN,Extrême droite,414448,286963,127485,273150,58166,69.24,30.76,21.29,14.03,False,True,Rural
1997,1,30,Gard,SOC,Autres,414448,286963,127485,273150,56724,69.24,30.76,20.77,13.69,False,True,Rural
1997,1,30,Gard,COM,Autres,414448,286963,127485,273150,49782,69.24,30.76,18.23,12.01,False,True,Rural
1997,1,30,Gard,UDF,Autres,414448,286963,127485,273150,40983,69.24,30.76,15.0,9.89,False,True,Rural
1997,1,30,Gard,RPR,Droite,414448,286963,127485,273150,26334,69.24,30.76,9.64,6.35,False,True,Rural
1997,1,30,Gard,DVD,Droite,414448,286963,127485,273150,13615,69.24,30.76,4.98,3.29,False,True,Rural
1997,1,30,Gard,ECO,Autres,414448,286963,127485,273150,11919,69.24,30.76,4.36,2.88,False,True,Rural
1997,1,30,Gard,DIV,Autres,414448,286963,127485,273150,8192,69.24,30.76,3.0,1.98,False,True,Rural
1997,1,30,Gard,DVG,Gauche,414448,286963,127485,273150,2895,69.24,30.76,1.06,0.7,False,True,Rural
1997,1,30,Gard,EXD,Autres,414448,286963,127485,273150,604,69.24,30.76,0.22,0.15,False,True,Rural
1997,1,30,Gard,PRS,Autres,414448,286963,127485,273150,0,69.24,30.76,0.0,0.0,False,True,Rural
1997,1,31,Haute-Garonne,SOC,Autres,649792,457342,192450,436394,149557,70.38,29.62,34.27,23.02,True,False,Rural
1997,1,31,Haute-Garonne,UDF,Autres,649792,457342,192450,436394,58952,70.38,29.62,13.51,9.07,True,False,Rural
1997,1,31,Haute-Garonne,RPR,Droite,649792,457342,192450,436394,57961,70.38,29.62,13.28,8.92,True,False,Rural
1997,1,31,Haute-Garonne,FRN,Extrême droite,649792,457342,192450,436394,54602,70.38,29.62,12.51,8.4,True,False,Rural
1997,1,31,Haute-Garonne,COM,Autres,649792,457342,192450,436394,34415,70.38,29.62,7.89,5.3,True,False,Rural
1997,1,31,Haute-Garonne,ECO,Autres,649792,457342,192450,436394,25383,70.38,29.62,5.82,3.91,True,False,Rural
1997,1,31,Haute-Garonne,DVD,Droite,649792,457342,192450,436394,20159,70.38,29.62,4.62,3.1,True,False,Rural
1997,1,31,Haute-Garonne,DIV,Autres,649792,457342,192450,436394,7434,70.38,29.62,1.7,1.14,True,False,Rural
1997,1,31,Haute-Garonne,DVG,Gauche,649792,457342,192450,436394,6489,70.38,29.62,1.49,1.0,True,False,Rural
1997,1,31,Haute-Garonne,EXD,Autres,649792,457342,192450,436394,63,70.38,29.62,0.01,0.01,True,False,Rural
1997,1,31,Haute-Garonne,PRS,Autres,649792,457342,192450,436394,0,70.38,29.62,0.0,0.0,True,False,Rural
1997,1,32,Gers,SOC,Autres,134098,97259,36839,91343,32024,72.53,27.47,35.06,23.88,True,False,Rural
1997,1,32,Gers,UDF,Autres,134098,97259,36839,91343,16239,72.53,27.47,17.78,12.11,True,False,Rural
1997,1,32,Gers,RPR,Droite,134098,97259,36839,91343,15866,72.53,27.47,17.37,11.83,True,False,Rural
1997,1,32,Gers,FRN,Extrême droite,134098,97259,36839,91343,7739,72.53,27.47,8.47,5.77,True,False,Rural
1997,1,32,Gers,COM,Autres,134098,97259,36839,91343,7517,72.53,27.47,8.23,5.61,True,False,Rural
1997,1,32,Gers,ECO,Autres,134098,97259,36839,91343,4562,72.53,27.47,4.99,3.4,True,False,Rural
1997,1,32,Gers,DVD,Droite,134098,97259,36839,91343,3470,72.53,27.47,3.8,2.59,True,False,Rural
1997,1,32,Gers,DVG,Gauche,134098,97259,36839,91343,1706,72.53,27.47,1.87,1.27,True,False,Rural
1997,1,32,Gers,DIV,Autres,134098,97259,36839,91343,177,72.53,27.47,0.19,0.13,True,False,Rural
1997,1,32,Gers,PRS,Autres,134098,97259,36839,91343,0,72.53,27.47,0.0,0.0,True,False,Rural
1997,1,32,Gers,EXD,Autres,134098,97259,36839,91343,0,72.53,27.47,0.0,0.0,True,False,Rural
1997,1,34,Hérault,SOC,Autres,571885,397400,174485,380217,91914,69.49,30.51,24.17,16.07,False,True,Rural
1997,1,34,Hérault,FRN,Extrême droite,571885,397400,174485,380217,73350,69.49,30.51,19.29,12.83,False,True,Rural
1997,1,34,Hérault,UDF,Autres,571885,397400,174485,380217,69721,69.49,30.51,18.34,12.19,False,True,Rural
